"File","OldTitle","NewTitle","DateBefore","LocationBefore","PageChanged","TitleStandardizedOrChanged","DateNormalized","LocationNormalized","GenericNotesRemoved","MojibakeWarningAfter"
"absolut-elvis-milan-2010.html","Absolut Elvis","","2010 (June–October)","Colonne di San Lorenzo / Basilica San Lorenzo Maggiore area, Milan, Italy","No","No","No","No","No","Yes"
"avant-garde-urbano-2013.html","Avant-Garde Urbano","","2013","AvilÃ©s / Asturias region, Spain","Yes","No","No","Yes","No","No"
"basel-2019.html","Basel","","2019","Wynwood and Miami Design District, Miami, Florida, United States","No","No","No","No","No","No"
"beacon-popmart-2018.html","Beacon PopMart","","2018","45 Beekman Street, Beacon, New York, United States","No","No","No","No","No","No"
"berlin-wall-1989.html","Berlin Wall","","1989","Berlin Wall, Checkpoint Charlie, West Berlin, West Germany","No","No","No","No","No","No"
"berlin-wassertor-2017.html","Berlin Wassertor","","2017 (September)","WassertorstraÃ’Å¸e 64, Kreuzberg, Berlin, Germany","Yes","No","No","Yes","No","No"
"blackocean-pool-2014.html","Black Ocean Pool","","2014","Black Ocean, Chelsea, New York, United States","No","No","No","No","No","No"
"bowery-wall-2015.html","Bowery Wall","","2015","Bowery and Houston Wall, New York, New York, United States","No","No","No","No","No","No"
"chico-mendez-memorial-mural-1997.html","Chico Mendez Memorial Mural","","1997","509 E. 11th Street, Manhattan, New York City, United States","No","No","No","No","No","No"
"complexcon-2016.html","ComplexCon","","2016","â","Yes","No","No","Yes","Yes","No"
"compound-harlem-2015.html","Compound, Harlem","","2015","The Compound, Harlem, New York, United States","No","No","No","No","No","No"
"coney-island-2015.html","Coney Island Mural","","2015","Coney Art Walls, Coney Island, Brooklyn, New York, United States","No","No","No","No","No","No"
"corey-helford-2015.html","Corey Helford","","2015 (December 8)","Corey Helford Gallery, 571 S. Anderson Street, Los Angeles, California, United States","No","No","No","No","No","No"
"cowgirl-roskilde-2013.html","Cowgirl, Roskilde","","2013","Roskilde Festival, Dyreskuepladsen stable area, Roskilde, Denmark","No","No","No","No","No","No"
"decatur-elefanka-2017.html","Decatur Elefanka","","2017","Kenâ — s Aquarium & Pet Supply, 730 E. Cerro Gordo Street, Decatur, Illinois, United States","Yes","No","No","Yes","No","No"
"dubai-2016.html","Dubai","","2016 (March)","City Walk, Dubai, United Arab Emirates","No","No","No","No","No","No"
"elefanka-lyon-2019.html","Elefanka, Lyon","","2019 (approx.)","Lyon, France","No","No","No","No","No","No"
"elefanka-mousezilla-2019.html","Elefanka Mousezilla","","2019","Erie Street basketball court, 266 Erie Street, Jersey City, New Jersey, United States","No","No","No","No","No","No"
"english-eichman-heart.html","English-Eichman Heart, NYC","","â","â","Yes","No","Yes","Yes","Yes","No"
"fashion-moda-1988.html","Fashion Moda","","1988","Fashion Moda, South Bronx, New York, United States","No","No","No","No","No","No"
"grin-baby-richmond-2014.html","Grin Baby, Richmond","","2014","Richmond","Yes","No","No","No","Yes","No"
"grin-mural-2024.html","Grin Mural","","2024","Greenpoint, Brooklyn, New York, United States","No","No","No","No","No","No"
"holleyman.html","Holleyman Photographic Laboratories Mural","","Not documented","Austin, TX","No","No","No","No","No","No"
"jersey-city-cole-street-2009.html","Jersey City, Cole Street","","2009 (March)","Hudson County Art Supply building, Cole Street / First Street, Jersey City, New Jersey, United States","No","No","No","No","No","No"
"jersey-city-mural-festival-2021.html","Jersey City Mural Festival","","2021 (June 5â…“6)","Coles Street rooftop, Jersey City, New Jersey, United States","Yes","No","Yes","No","No","No"
"jessica-rabbit.html","Jessica Rabbit's Revenge","","â","â","Yes","No","Yes","Yes","Yes","No"
"k11-musea-2019.html","K11 Musea","","2019","Opera Theatre, K11 MUSEA, Hong Kong","No","No","No","No","No","No"
"last-supper-delusionville-2021.html","Last Supper, Delusionville","","2021 (December)","Wynwood, Miami, Florida, United States","No","No","No","No","No","No"
"lccc-dc-2022.html","LCCC, DC","","2022 (March 4)","Washington, D.C., United States","No","No","No","No","No","No"
"lpg-2012.html","London Pleasure Garden","","2012","London Pleasure Gardens, Royal Victoria Docks, London, United Kingdom","No","No","No","No","No","No"
