"Section","File","OldTitle","NewTitle","CircaYearFound","DateBefore","DateAfter","PageChanged","TitleChanged","DateChanged","IndexChanged","RemainingMojibakeWarning"
"murals","absolut-elvis-milan-2010.html","Absolut Elvis, Milan","","","2010 (JuneâÃ¢â€š¬Ã¢â‚¬Å“October)","2010 (JuneâÃ¢â€š¬Ã¢â‚¬Å“October)","Yes","No","No","No","Yes"
"murals","avant-garde-urbano-2013.html","Avant-Garde Urbano","","","2013","2013","Yes","No","No","No","Yes"
"murals","basel-2019.html","Basel","","","2019","2019","Yes","No","No","No","Yes"
"murals","beacon-popmart-2018.html","Beacon PopMart","","","2018","2018","Yes","No","No","No","Yes"
"murals","berlin-wall-1989.html","Berlin Wall","","","1989","1989","Yes","No","No","No","Yes"
"murals","berlin-wassertor-2017.html","Berlin Wassertor","","","2017 (September)","2017 (September)","Yes","No","No","No","Yes"
"murals","blackocean-pool-2014.html","Black Ocean Pool","","","2014","2014","Yes","No","No","No","Yes"
"murals","bowery-wall-2015.html","Bowery Wall","","","2015","2015","Yes","No","No","No","Yes"
"murals","chico-mendez-memorial-mural-1997.html","Chico Mendez Memorial Mural","","","1997","1997","Yes","No","No","No","Yes"
"murals","complexcon-2016.html","ComplexCon","","","2016","2016","Yes","No","No","No","Yes"
"murals","compound-harlem-2015.html","Compound, Harlem","","","2015","2015","Yes","No","No","No","Yes"
"murals","coney-island-2015.html","Coney Island Mural","","","2015","2015","Yes","No","No","No","Yes"
"murals","corey-helford-2015.html","Corey Helford","","","2015 (December 8)","2015 (December 8)","Yes","No","No","No","Yes"
"murals","cowgirl-roskilde-2013.html","Cowgirl, Roskilde","","","2013","2013","Yes","No","No","No","Yes"
"murals","decatur-elefanka-2017.html","Decatur Elefanka","","","2017","2017","Yes","No","No","No","Yes"
"murals","dubai-2016.html","Dubai","","","2016 (March)","2016 (March)","Yes","No","No","No","Yes"
"murals","elefanka-lyon-2019.html","Elefanka, Lyon","","","2019 (approx.)","2019 (approx.)","Yes","No","No","No","Yes"
"murals","elefanka-mousezilla-2019.html","Elefanka Mousezilla","","","2019","2019","Yes","No","No","No","Yes"
"murals","english-eichman-heart.html","English-Eichman Heart, NYC, circa","English-Eichman Heart, NYC","","âÃ¢â€š¬Ã¢â‚¬","âÃ¢â€š¬Ã¢â‚¬","Yes","Yes","No","Yes","Yes"
"murals","fashion-moda-1988.html","Fashion Moda","","","1988","1988","Yes","No","No","No","Yes"
"murals","grin-baby-richmond-2014.html","Grin Baby, Richmond","","","2014","2014","Yes","No","No","No","Yes"
"murals","grin-mural-2024.html","Grin Mural","","","2024","2024","Yes","No","No","No","Yes"
"murals","holleyman.html","Holleyman Photographic Laboratories Mural, Austin, TX","","","âÃ¢â€š¬Ã¢â‚¬","âÃ¢â€š¬Ã¢â‚¬","Yes","No","No","No","Yes"
"murals","jersey-city-cole-street-2009.html","Jersey City, Cole Street","","","2009 (March)","2009 (March)","Yes","No","No","No","Yes"
