"ProposedWorkID","MuralName","HeroImageFormula","PublicHeroImageURL","DetailPageURL","LocalDetailFile","DetailExists","ExistingWorkIDsInPage","YearFromPage","LocationFromPage","PageTitle","IndexImageRelativePath","HeroImageInPage","HeroImagePublicURLFromPage","HeroFileExists","HasGalleryToPreserve","GalleryImageCount","GalleryImages","SourceLinkCount","HasPublishedViaFooter","RecommendedAction"
"RE-011957","Prophet Bar Mural, circa 1985","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/prophet-bar.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/prophet-bar.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/prophet-bar.html","prophet-bar.html","Yes","","â€”","â€”","Prophet Bar","../images/murals/prophet-bar.jpg","../images/murals/prophet-barL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/prophet-barL.jpg","Yes","No","0","","0","No","Convert page format"
"RE-011958","Fashion Moda, 1988","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/fashion-moda.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/fashion-moda.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/fashion-moda-1988.html","fashion-moda-1988.html","Yes","","1988","Fashion Moda, South Bronx, New York, United States","Fashion Moda, 1988","../images/murals/fashion-moda.jpg","../images/murals/fashion-moda.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/fashion-moda.jpg","Yes","No","0","","5","No","Convert page format"
"RE-011959","Berlin Wall, 1989","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/berlin-wall.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/berlin-wall.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/berlin-wall-1989.html","berlin-wall-1989.html","Yes","","1989","Berlin Wall, Checkpoint Charlie, West Berlin, West Germany","Berlin Wall, 1989","../images/murals/berlin-wall.jpg","../images/murals/berlin-wallL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/berlin-wallL.jpg","Yes","Yes","7","../images/murals/Berlin-Wall-1.jpg | ../images/murals/Berlin-Wall-2.jpg | ../images/murals/Berlin-Wall-3.jpg | ../images/murals/Berlin-Wall-4.jpg | ../images/murals/Berlin-Wall-5.jpg | ../images/murals/Berlin-Wall-6.jpg | ../images/murals/Berlin-Wall-7.jpg","6","No","Convert page format; preserve gallery and sources"
"RE-011960","English-Eichman Heart, NYC, circa 1989","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/english-eichman-heart.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/english-eichman-heart.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/english-eichman-heart.html","english-eichman-heart.html","Yes","","â€”","â€”","English Eichman Heart","../images/murals/english-eichman-heart.jpg","../images/murals/english-eichman-heartL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/english-eichman-heartL.jpg","Yes","No","0","","0","No","Convert page format"
"RE-011961","Holleyman Photographic Laboratories Mural, Austin, TX, 1995","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/holleyman.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/holleyman.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/holleyman.html","holleyman.html","Yes","","â€”","â€”","Holleyman","../images/murals/holleyman.jpg","../images/murals/holleymanL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/holleymanL.jpg","Yes","No","0","","0","No","Convert page format"
"RE-011962","Jessica Rabbit's Revenge, 1995","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/jessica-rabbit.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/jessica-rabbit.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/jessica-rabbit.html","jessica-rabbit.html","Yes","","â€”","â€”","Jessica Rabbit","../images/murals/jessica-rabbit.jpg","../images/murals/jessica-rabbitL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/jessica-rabbitL.jpg","Yes","No","0","","0","No","Convert page format"
"RE-011963","West Bank, 2007","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/oppression.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/oppression.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/west-bank-2007.html","west-bank-2007.html","Yes","","2007","Bethlehem area, Palestine â€” West Bank separation barrier","West Bank Barrier Mural, 2007","../images/murals/oppression.jpg","../images/murals/oppressionL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/oppressionL.jpg","Yes","Yes","3","../images/murals/oppression-1.jpg | ../images/murals/oppression-2.jpg | ../images/murals/oppression-3.jpg","4","No","Convert page format; preserve gallery and sources"
"RE-011964","Primary Flight, 2008","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/guernica-mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/guernica-mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/primary-flight-2008.html","primary-flight-2008.html","Yes","","2008","Wynwood, Miami, Florida, United States","Primary Flight, 2008","../images/murals/guernica-mural.jpg","../images/murals/guernica-muralL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/guernica-muralL.jpg","Yes","Yes","1","../images/murals/Primary-Flight-Mural-1.jpg","4","No","Convert page format; preserve gallery and sources"
"RE-011965","Yin Yang Mural in Milan, circa 2009","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/milan-yin-yang.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/milan-yin-yang.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/milan-yin-yang.html","milan-yin-yang.html","Yes","","â€”","Milan","Milan Yin Yang","../images/murals/milan-yin-yang.jpg","../images/murals/milan-yin-yang.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/milan-yin-yang.jpg","Yes","No","0","","0","No","Convert page format"
"RE-011966","Jersey City, Cole Street, 2009","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/cole-street-mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/cole-street-mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/jersey-city-cole-street-2009.html","jersey-city-cole-street-2009.html","Yes","","2009 (March)","Hudson County Art Supply building, Cole Street / First Street, Jersey City, New Jersey, United States","Jersey City, Cole Street, 2009","../images/murals/cole-street-mural.jpg","../images/murals/cole-street-muralL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/cole-street-muralL.jpg","Yes","No","0","","5","No","Convert page format"
