"Order","WorkID","Title","File","HeroImage","Date","Location","Commission","GalleryImageCount","SourceLinkCount","NotesPreservedFromSubtitle"
"1","RE-011957","Prophet Bar Mural, circa 1985","prophet-bar.html","../images/murals/prophet-barL.jpg","â€”","â€”","","0","0","Yes"
"2","RE-011958","Fashion Moda, 1988","fashion-moda-1988.html","../images/murals/fashion-moda.jpg","1988","Fashion Moda, South Bronx, New York, United States","","0","5","Yes"
"3","RE-011959","Berlin Wall, 1989","berlin-wall-1989.html","../images/murals/berlin-wallL.jpg","1989","Berlin Wall, Checkpoint Charlie, West Berlin, West Germany","","7","6","Yes"
"4","RE-011960","English-Eichman Heart, NYC, circa 1989","english-eichman-heart.html","../images/murals/english-eichman-heartL.jpg","â€”","â€”","","0","0","Yes"
"5","RE-011961","Holleyman Photographic Laboratories Mural, Austin, TX, 1995","holleyman.html","../images/murals/holleymanL.jpg","â€”","â€”","","0","0","Yes"
"6","RE-011962","Jessica Rabbit's Revenge, 1995","jessica-rabbit.html","../images/murals/jessica-rabbitL.jpg","â€”","â€”","","0","0","Yes"
"7","RE-011963","West Bank, 2007","west-bank-2007.html","../images/murals/oppressionL.jpg","2007","Bethlehem area, Palestine â€” West Bank separation barrier","","3","4","Yes"
"8","RE-011964","Primary Flight, 2008","primary-flight-2008.html","../images/murals/guernica-muralL.jpg","2008","Wynwood, Miami, Florida, United States","",,"4","Yes"
"9","RE-011965","Yin Yang Mural in Milan, circa 2009","milan-yin-yang.html","../images/murals/milan-yin-yang.jpg","â€”","Milan","","0","0","Yes"
"10","RE-011966","Jersey City, Cole Street, 2009","jersey-city-cole-street-2009.html","../images/murals/cole-street-muralL.jpg","2009 (March)","Hudson County Art Supply building, Cole Street / First Street, Jersey City, New Jersey, United States","","0","5","Yes"
"11","RE-011967","Medicine Agency, 2009","medicine-agency-2009.html","../images/murals/medicine-agencyL.jpg","2009","Medicine Agency, San Francisco, California, United States","","6","2","Yes"
"12","RE-011968","Absolut Elvis, Milan, 2010","absolut-elvis-milan-2010.html","../images/murals/absolut-elvish.jpg","2010 (Juneâ€“October)","Colonne di San Lorenzo / Basilica San Lorenzo Maggiore area, Milan, Italy","Absolut Vodka â€“ Absolut Wallpaper: A Vision by Ron English","6","10","Yes"
"13","RE-011969","Primary Flight, 2010","primary-flight-2010.html","../images/murals/primary-2010L.jpg","2010","Wynwood, Miami, Florida, United States","",,"5","Yes"
"14","RE-011970","Urban Bigfoot, 2010","urban-bigfoot-2010.html","../images/murals/bigfootL.jpg","2010","Los Angeles Arts District, Los Angeles, California, United States","","6","7","Yes"
"15","RE-011988","Wynwood Babyhulk, 2010","wynwood-babyhulk-2010.html","../images/murals/wynwood-babyhulkL.jpg","2010","Wynwood Walls, Miami, Florida, United States","","6","5","Yes"
"16","RE-011989","Reynosa Border Wall, 2011","reynosa-border-wall-2011.html","../images/murals/welcome-wallL.jpg","2011","Reynosa, Tamaulipas, Mexico â€” near the U.S.â€“Mexico border","","0","4","Yes"
"17","RE-011990","London Pleasure Garden, 2012","lpg-2012.html","../images/murals/lpgL.jpg","2012","London Pleasure Gardens, Royal Victoria Docks, London, United Kingdom","","0","6","Yes"
"18","RE-011991","Nuart, 2012","nuart-2012.html","../images/murals/nuart-1.jpg","2012","Atlantic Hotel faÃ§ade, Stavanger, Norway","","6","5","Yes"
"19","RE-011992","Temper Tot, Little Italy, 2012","temper-tot-little-italy-2012.html","../images/murals/little-italy-2012.jpg","2012","Mulberry Street, Little Italy, Manhattan, New York, United States","","0","5","Yes"
"20","RE-011993","Avant-Garde Urbano, 2013","avant-garde-urbano-2013.html","../images/murals/avant-gardeL.jpg","2013","AvilÃ©s / Asturias region, Spain","","5","3","Yes"
"21","RE-011994","Cowgirl, Roskilde, 2013","cowgirl-roskilde-2013.html","../images/murals/cowgirl-2013.jpg","2013","Roskilde Festival, Dyreskuepladsen stable area, Roskilde, Denmark","","0","4","Yes"
"22","RE-011995","Mousemask and Temper, Rome, 2013","mousemask-temper-rome-2013.html","../images/murals/Mousemask-and-Temper-MuralL.jpg","2013","Via dei Pisoni 89, Quadraro, Rome, Italy","","3","6","Yes"
"23","RE-011996","POW! WOW! Hawaii, 2013","powwow-hawaii-2013.html","../images/murals/hawaii-6.jpg","2013","KakaÃŠÂ»ako district, Honolulu, Hawaii, United States","","5","6","Yes"
"24","RE-011997","Black Ocean Pool, 2014","blackocean-pool-2014.html","../images/murals/blackocean-pool.jpg","2014","Black Ocean, Chelsea, New York, United States","","0","1","Yes"
"25","RE-011998","Grin Baby, Richmond, 2014","grin-baby-richmond-2014.html","../images/murals/Grin-Baby.jpg","2014","Richmond","","5","0","Yes"
"26","RE-011999","Miami Marine Stadium, 2014","miami-marine-stadium-2014.html","../images/murals/marine-stadium.jpg","2014","Miami Marine Stadium, Miami, Florida, United States","","0","5","Yes"
"27","RE-012000","Zelephant, South Haven, 2014","zelephant-south-haven-2014.html","../images/murals/zelephant-1.jpg","2014","South Haven, Michigan, United States","","2","5","Yes"
"28","RE-012001","Compound, Harlem, 2015","compound-harlem-2015.html","../images/murals/compound-harlem.jpg","2015","The Compound, Harlem, New York, United States","","0","1","Yes"
"29","RE-012002","Coney Island Mural, 2015","coney-island-2015.html","../images/murals/coney-1.jpg","2015","Coney Art Walls, Coney Island, Brooklyn, New York, United States","","5","5","Yes"
"30","RE-012003","Corey Helford, 2015","corey-helford-2015.html","../images/murals/corey-helford-2015.jpg","2015 (December 8)","Corey Helford Gallery, 571 S. Anderson Street, Los Angeles, California, United States","","2","5","Yes"
"31","RE-012004","Mindstyle, China, 2015","mindstyle-china-2015.html","../images/murals/mindstyle-china.jpg","2015","MINDstyle / Pop Life Global headquarters, China","","0","4","Yes"
"32","RE-012005","Not a Crime, 2015","notacrime-2015.html","../images/murals/Monkeys-Mural.jpg","2015","New York City, New York, United States","","0","5","Yes"
"33","RE-012006","RXSM, Spiderhouse, 2015","rxsm-spiderhouse-2015.html","../images/murals/RSXM-1.jpg","2015","Spider House Cafe & Ballroom, Austin, Texas, United States","","3","5","Yes"
"34","RE-012007","Spider House Face, 2015","spider-house-face-2015.html","../images/murals/spiderhouse-face.jpg","2015","Spider House, Austin, Texas, United States","","0","4","Yes"
"35","RE-012008","Temper Tot, Little Italy, 2015","temper-tot-little-italy-2015.html","../images/murals/little-italy-2015.jpg","2015","Little Italy (Mulberry Street), Manhattan, New York, United States","",,"5","Yes"
"36","RE-012009","Victoria, 2015","victoria-2015.html","../images/murals/victoria-1.jpg","2015 (March 18â€“22)","Downtown Victoria, Texas, United States","","2","8","Yes"
"37","RE-012010","ComplexCon, 2016","complexcon-2016.html","../images/murals/complexcon.jpg","2016","â€”","","0","0","Yes"
"38","RE-012011","Dubai, 2016","dubai-2016.html","../images/murals/dubaiL.jpg","2016 (March)","City Walk, Dubai, United Arab Emirates","","4","7","Yes"
"39","RE-012012","Magic City, Dresden, 2016","magic-city-dresden-2016.html","../images/murals/dresden.jpg","2016","MAGIC CITY â€“ The Art of the Street, Dresden, Germany","",,"6","Yes"
"40","RE-012013","Berlin Wassertor, 2017","berlin-wassertor-2017.html","../images/murals/wassertor-berlin.jpg","2017 (September)","WassertorstraÃƒÅ¸e 64, Kreuzberg, Berlin, Germany","","2","3","Yes"
"41","RE-012014","Decatur Elefanka, 2017","decatur-elefanka-2017.html","../images/murals/elefanka-decaturL.jpg","2017","Kenâ€™s Aquarium & Pet Supply, 730 E. Cerro Gordo Street, Decatur, Illinois, United States","",,"3","Yes"
"42","RE-012015","Manhattan Runners, 2017","manhattan-runners-2017.html","../images/murals/manhattan-runners.jpg","2017","1st Avenue at St. Marks Place, Manhattan, New York, United States","","2","1","Yes"
"43","RE-012016","Mural Festival, Montreal, 2017","mural-festival-2017-montreal.html","../images/murals/Montreal-Mona-Mural.jpg","2017","Boulevard Saint-Laurent, MontrÃ©al, Quebec, Canada","","3","4","Yes"
"44","RE-012017","One Wall, 2017","one-wall-2017.html","../images/murals/one-wallL.jpg","2017","SchÃ¶neberg, Berlin, Germany","","2","3","Yes"
"45","RE-012018","Trumpty Dumpty, 2017","trumpty-dumpty-2017.html","../images/murals/trumpty-dumpty.jpg","2017","Troutman Street, Bushwick, Brooklyn, New York, United States","","0","5","Yes"
"46","RE-012019","Beacon PopMart, 2018","beacon-popmart-2018.html","../images/murals/beacon-popmart.jpg","2018","45 Beekman Street, Beacon, New York, United States","","0","3","Yes"
"47","RE-012020","Proam, Studio City 7th Floor, 2018","proam-studio-city-7th-floor-2018.html","../images/murals/proam.jpg","2018","ProAm Studio City building, Changping Town, Dongguan, Guangdong, China","","11","5","Yes"
"48","RE-012021","Wynwood, 2018","wynwood-2018.html","../images/murals/wynwood-walls-2018L.jpg","2018","Wynwood Walls, Miami, Florida, United States","","5","3","Yes"
"49","RE-012022","Basel, 2019","basel-2019.html","../images/murals/basel2019.jpg","2019","Wynwood and Miami Design District, Miami, Florida, United States","","3","5","Yes"
"50","RE-012023","Elefanka, Lyon, 2019","elefanka-lyon-2019.html","../images/murals/lyonL.jpg","2019 (approx.)","Lyon, France","","0","4","Yes"
"51","RE-012024","Elefanka Mousezilla, 2019","elefanka-mousezilla-2019.html","../images/murals/elef.jpg","2019","Erie Street basketball court, 266 Erie Street, Jersey City, New Jersey, United States","","0","8","Yes"
"52","RE-012025","K11 Musea, 2019","k11-musea-2019.html","../images/murals/k11.jpg","2019","Opera Theatre, K11 MUSEA, Hong Kong","",,"5","Yes"
