"Section","File","WarningBefore","Changed","WarningAfter","RemainingSnippet"
"murals","absolut-elvis-milan-2010.html","Yes","Yes","No",""
"murals","avant-garde-urbano-2013.html","Yes","Yes","No",""
"murals","basel-2019.html","Yes","Yes","No",""
"murals","beacon-popmart-2018.html","Yes","Yes","No",""
"murals","berlin-wall-1989.html","Yes","Yes","No",""
"murals","berlin-wassertor-2017.html","Yes","Yes","No",""
"murals","blackocean-pool-2014.html","Yes","Yes","No",""
"murals","bowery-wall-2015.html","Yes","Yes","No",""
"murals","chico-mendez-memorial-mural-1997.html","Yes","Yes","No",""
"murals","complexcon-2016.html","Yes","Yes","No",""
"murals","compound-harlem-2015.html","Yes","Yes","No",""
"murals","coney-island-2015.html","Yes","Yes","No",""
"murals","corey-helford-2015.html","Yes","Yes","No",""
"murals","cowgirl-roskilde-2013.html","Yes","Yes","No",""
"murals","decatur-elefanka-2017.html","Yes","Yes","No",""
"murals","dubai-2016.html","Yes","Yes","No",""
"murals","elefanka-lyon-2019.html","Yes","Yes","No",""
"murals","elefanka-mousezilla-2019.html","Yes","Yes","No",""
"murals","english-eichman-heart.html","Yes","Yes","No",""
"murals","fashion-moda-1988.html","Yes","Yes","No",""
"murals","grin-baby-richmond-2014.html","Yes","Yes","No",""
"murals","grin-mural-2024.html","Yes","Yes","No",""
"murals","holleyman.html","No","Yes","No",""
"murals","index.html","No","Yes","No",""
"murals","jersey-city-cole-street-2009.html","Yes","Yes","No",""
"murals","jersey-city-mural-festival-2021.html","Yes","Yes","No",""
"murals","jessica-rabbit.html","Yes","Yes","No",""
"murals","k11-musea-2019.html","Yes","Yes","No",""
"murals","last-supper-delusionville-2021.html","Yes","Yes","No",""
"murals","lccc-dc-2022.html","Yes","Yes","No",""
"murals","lpg-2012.html","Yes","Yes","No",""
"murals","magic-city-dresden-2016.html","Yes","Yes","No",""
"murals","manhattan-runners-2017.html","Yes","Yes","No",""
"murals","medicine-agency-2009.html","Yes","Yes","No",""
"murals","miami-marine-stadium-2014.html","Yes","Yes","No",""
"murals","miami-popmart-2019.html","Yes","Yes","No",""
"murals","milan-yin-yang.html","Yes","Yes","No",""
"murals","mindstyle-china-2015.html","Yes","Yes","No",""
"murals","mousemask-temper-rome-2013.html","Yes","Yes","No",""
"murals","mural-festival-2017-montreal.html","Yes","Yes","No",""
"murals","notacrime-2015.html","Yes","Yes","No",""
"murals","nuart-2012.html","Yes","Yes","No",""
"murals","one-wall-2017.html","Yes","Yes","No",""
"murals","plessy-school-new-orleans-2022.html","Yes","Yes","No",""
"murals","powwow-hawaii-2013.html","Yes","Yes","No",""
"murals","primary-flight-2008.html","Yes","Yes","No",""
"murals","primary-flight-2010.html","Yes","Yes","No",""
"murals","proam-studio-city-7th-floor-2018.html","Yes","Yes","No",""
"murals","prophet-bar.html","Yes","Yes","No",""
"murals","punk-pink-skunk-2021.html","Yes","Yes","No",""
"murals","reynosa-border-wall-2011.html","Yes","Yes","No",""
"murals","rxsm-spiderhouse-2015.html","Yes","Yes","No",""
"murals","spider-house-face-2015.html","Yes","Yes","No",""
"murals","stlouis-loop-mural-2024.html","Yes","Yes","No",""
"murals","temper-tot-little-italy-2012.html","Yes","Yes","No",""
"murals","temper-tot-little-italy-2015.html","Yes","Yes","No",""
"murals","texas-tantrum-trots-and-pals.html","Yes","Yes","No",""
"murals","trumpty-dumpty-2017.html","Yes","Yes","No",""
"murals","urban-bigfoot-2010.html","Yes","Yes","No",""
"murals","victoria-2015.html","Yes","Yes","No",""
"murals","west-bank-2007.html","Yes","Yes","No",""
"murals","wynwood-2018.html","Yes","Yes","No",""
"murals","wynwood-babyhulk-2010.html","Yes","Yes","No",""
"murals","zelephant-south-haven-2014.html","Yes","Yes","No",""
